,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
19,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera minima,125.896,44.165,-163,-145,129.82,45.95
20,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera orientalis,119.26700000000001,42.035,-163,-145,122.45,43.29
21,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera orientalis,125.499,44.288999999999994,-163,-145,129.41,46.07
22,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera valida,123.42299999999999,41.833,-163,-145,126.68,43.05
23,Gymnospermae,Cycadopsida,Cycadales,F,Beania,Beania mishanensis,131.692,45.602,-163,-145,135.82,47.36
24,Angiospermae,C,O,F,Beipiaoa,Beipiaoa parva,120.836,41.615,-163,-145,124.04,42.86
25,Angiospermae,C,O,F,Beipiaoa,Beipiaoa rotunda,120.836,41.615,-163,-145,124.04,42.86
26,Angiospermae,C,O,F,Beipiaoa,Beipiaoa spinosa,120.836,41.615,-163,-145,124.04,42.86
27,Pteridophyta,Filicopsida,O,Botrychiaceae,Botrychites,Botrychites reheensis,120.84,41.62,-163,-145,124.05,42.86
28,Gymnospermae,Coniferopsida,O,Cupressaceae,Brachyphyllum,Brachyphyllum lingxiangense,114.744,30.011999999999997,-163,-145,118.23,31.21
29,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum rhombicum,120.96799999999999,41.61,-163,-145,124.18,42.85
30,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum cf.Japonicum,120.829,41.611999999999995,-163,-145,124.03,42.85
31,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum expansum,120.383,41.495,-163,-145,123.58,42.74
32,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum longispicum,120.84100000000001,41.607,-163,-145,124.05,42.85
33,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum mamillare,121.045,41.805,-163,-145,124.26,43.05
34,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum obesum,117.359,25.944000000000003,-163,-100,121.66,27.74
35,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum obesum,120.70700000000001,36.977,-163,-100,122.82,38.02
36,Gymnospermae,C,O,F,Carpolithus,Carpolithus fabiformis,130.797,45.376999999999995,-163,-145,134.89,47.14
37,Gymnospermae,C,O,F,Carpolithus,Carpolithus jidongensis,131.248,45.18899999999999,-163,-145,135.35,46.95
38,Gymnospermae,C,O,F,Carpolithus,Carpolithus lingxiangensis,114.744,30.011999999999997,-163,-145,118.23,31.21
39,Gymnospermae,C,O,F,Carpolithus,Carpolithus multiseminatlis,123.42299999999999,41.833,-163,-145,126.68,43.05
40,Gymnospermae,C,O,F,Carpolithus,Carpolithus pachythelis,123.42299999999999,41.833,-163,-145,126.68,43.05
