,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
36,Gymnospermae,C,Ginkgoales,Aspleniaceae,Asplenium,Asplenium popovii,123.542,42.448,-145.0,-100.0,125.42,43.98
37,Gymnospermae,C,Ginkgoales,Aspleniaceae,Asplenium,Asplenium popovii,126.662,45.742,-145.0,-100.0,128.72,48.06
38,Bryophyta,C,Ginkgoales,Aspleniaceae,Asplenium,Asplenium popovii,131.124,45.26,-145.0,-100.0,133.43,47.87
39,Gymnospermae,Pteridospermopsida,O,Taxodiaceae,Athrotaxites,Athrotaxites masgnifolius,121.67,41.998999999999995,-145.0,-100.0,123.55,43.42
40,Gymnospermae,C,Ginkgoales,Taxodiaceae,Athrotaxites,Athrotaxites orientalis,119.585,45.286,-145.0,-100.0,121.46,47.14
41,Gymnospermae,Coniferopsida,Coniferales,Taxodiaceae,Athrotaxites,Athrotaxites berryi,123.539,42.43899999999999,-145.0,-100.0,125.41,43.97
42,Gymnospermae,Coniferopsida,Coniferales,Taxodiaceae,Athrotaxites,Athrotaxites berryi,131.15,46.644,-145.0,-100.0,133.27,49.25
43,Angiospermae,Monocotyledoneae,O,Taxodiaceae,Athrotaxites,Athrotaxites cf.berryi,121.41,41.78,-145.0,-100.0,123.31,43.19
44,Gymnospermae,C,O,Taxodiaceae,Athrotaxopsis,Athrotaxopsis expansa,130.961,45.293,-145.0,-100.0,133.26,47.89
45,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium asymmetricum,117.669,49.51,-145.0,-100.0,118.82,51.21
46,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium asymmetricum,119.735,49.213,-145.0,-100.0,121.0,51.05
47,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium cretaceum,119.59200000000001,45.428999999999995,-145.0,-100.0,121.45,47.28
48,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium cretaceum,121.67,42.021,-145.0,-100.0,123.55,43.44
49,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium fuxinense,121.67,42.021,-145.0,-100.0,123.55,43.44
50,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium fuxinense,121.676,42.001000000000005,-145.0,-100.0,123.56,43.43
51,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium asymmetricum,123.542,42.448,-145.0,-100.0,125.42,43.98
52,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium cretaceum,123.542,42.448,-145.0,-100.0,125.42,43.98
53,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium asymmetricum,125.906,44.158,-145.0,-100.0,128.14,46.44
54,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium cretaceum,125.906,44.158,-145.0,-100.0,128.14,46.44
55,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium dentosum,125.906,44.158,-145.0,-100.0,128.14,46.44
56,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium fuxinense,125.906,44.158,-145.0,-100.0,128.14,46.44
57,Gymnospermae,Coniferopsida,O,Athyriaceae,Athyrium,Athyrium asymmetricum,131.011,45.336000000000006,-145.0,-100.0,133.3,47.93
