,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
80,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites brevidentatus,93.101,43.571000000000005,-247,-237,71.53,49.05
81,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites cf.arenaceus,106.93799999999999,34.806,-247,-237,84.54,38.9
82,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites brevidentatus,89.178,43.901,-247,-237,84.82,47.34
83,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites stenodon,89.178,43.901,-247,-237,84.82,47.34
84,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites stenodon,109.051,35.211,-247,-237,86.81,39.09
85,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites tongchuanensis,109.051,35.209,-247,-237,86.81,39.09
86,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites brevidentatus,110.494,38.009,-247,-237,88.78,41.72
87,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites stenodon,110.676,36.098,-247,-201,94.5,43.34
88,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites cf.mougeoti,110.986,37.951,-247,-201,95.39,45.09
89,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites cf.sarrani,111.12100000000001,38.461,-247,-201,95.69,45.57
90,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites cf.gracilis,110.164,29.475,-247,-237,96.14,21.59
91,Pteridophyta,Sphenopsida,Equisetales,F,Equisetum,Equisetum arenaceus,110.164,29.475,-247,-237,96.14,21.59
92,Pteridophyta,Sphenopsida,Equisetales,F,Equisetum,Equisetum furongense,110.294,29.511,-247,-237,96.22,21.68
93,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo cf.magnifolia,111.005,40.04,-247,-237,89.68,43.68
94,Gymnospermae,C,Ginkgoales,F,Ginkgoidium,Ginkgoidium crassifolium,82.959,41.716,-247,-237,72.82,41.7
95,Gymnospermae,C,Ginkgoales,F,Ginkgoites,Ginkgoites cf.chowi,82.959,41.716,-247,-237,72.82,41.7
96,Gymnospermae,C,Ginkgoales,F,Ginkgoites,Ginkgoites cf.marginatus,111.005,40.04,-247,-237,89.68,43.68
97,Pteridophyta,Filicopsida,O,Gleicheniaceae,Gleichenites,Gleichenites benxiensis,123.69200000000001,41.284,-247,-237,103.09,43.54
98,Gymnospermae,C,Ginkgoales,F,Glossophyllum,Glossophyllum shensiense,82.959,41.716,-247,-237,72.82,41.7
99,Gymnospermae,C,Ginkgoales,F,Glossophyllum,Glossophyllum shensiense,111.005,40.04,-247,-237,89.68,43.68
100,Gymnospermae,C,Ginkgoales,F,Glossophyllum,Glossophyllum shensiense,110.986,37.95,-247,-201,95.39,45.09
101,Gymnospermae,C,Ginkgoales,F,Glossophyllum,Glossophyllum shensiense,107.841,36.456,-247,-237,85.74,40.45
102,Gymnospermae,Pteridospermopsida,O,F,Glossopteris,Glossopteris chinensis,109.01799999999999,35.23,-247,-237,86.78,39.12
103,Gymnospermae,Pteridospermopsida,O,F,Glossopteris,Glossopteris cf.angustifolia,109.052,35.21,-247,-237,86.81,39.09
104,Pteridophyta,Filicopsida,O,Dipteridaceae,Hausmannia,Hausmannia ussuriensis,120.67,41.143,-247,-237,99.95,43.74
105,Bryophyta,Hepaticae,O,F,Hepaticites,Hepaticites minutus,123.68700000000001,41.282,-247,-237,103.08,43.53
106,Pteridophyta,Lycopsida,Isoetales,F,Isoetes,Isoetes ermayingensis,110.661,37.478,-247,-237,88.87,41.18
107,Pteridophyta,Lycopsida,Isoetales,F,Isoetes,Isoetes ermayingensis,113.031,36.316,-247,-237,91.14,39.78
108,Gymnospermae,Pteridospermopsida,O,Pelaspermaceae,Lepidopteris,Lepidopteris ottonis,84.887,45.57899999999999,-247,-201,66.47,53.75
109,Gymnospermae,Pteridospermopsida,O,Pelaspermaceae,Lepidopteris,Lepidopteris cf.toretziensis,112.552,36.699,-247,-237,90.71,40.21
110,Pteridophyta,Filicopsida,O,F,Lesangeana,Lesangeana qinxianensis,112.516,37.121,-247,-237,90.74,40.64
111,Pteridophyta,Filicopsida,O,F,Lesangeana,Lesangeana vogesiaca,112.516,37.121,-247,-237,90.74,40.64
112,Pteridophyta,Sphenopsida,Equisetales,F,Lobatannularia,Lobatannularia cf.heianensis,123.68700000000001,41.282,-247,-237,103.08,43.53
113,Pteridophyta,Lycopsida,Lycopodiales,F,Lycostrobus,Lycostrobus petiolatus,112.508,37.113,-247,-237,90.73,40.63
114,Gymnospermae,Cycadopsida,NilssonialesorCycadales,F,Mixophylum,Mixophylum simplex,82.925,41.708,-247,-237,72.78,41.71
115,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites merianii,123.68700000000001,41.282,-247,-237,103.08,43.53
116,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites cf.carrerei,83.139,42.101000000000006,-247,-237,73.19,42.0
117,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites carrerei,89.178,43.901,-247,-237,84.82,47.34
118,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites cf.hoerensis,89.178,43.901,-247,-237,84.82,47.34
119,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites shanxiensis,108.759,31.469,-247,-237,93.87,22.59
120,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites merianii,108.721,29.964000000000002,-247,-237,94.72,21.32
121,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites rugosus,110.82799999999999,36.998000000000005,-247,-201,94.93,44.19
122,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites shanxiensis,109.51700000000001,30.284000000000002,-247,-237,95.16,21.96
123,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites shanxiensis,110.573,30.874000000000002,-247,-237,95.63,22.95
124,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites carrerei,111.12100000000001,38.461,-247,-201,95.69,45.57
125,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites shanxiensis,110.164,29.475,-247,-237,96.14,21.59
126,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites shanxiensis,112.955,37.023,-247,-201,97.24,43.85
127,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites carrerei,108.923,35.331,-247,-237,86.7,39.23
128,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites carcinoides,93.101,43.571000000000005,-247,-237,71.53,49.05
129,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites carcinoides,89.178,43.901,-247,-237,84.82,47.34
130,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites carcinoides,110.986,37.95,-247,-201,95.39,45.09
131,Pteridophyta,Sphenopsida,Equisetales,F,Neocalamites,Neocalamites carcinoides,109.056,35.209,-247,-237,86.82,39.09
132,Gymnospermae,Pteridospermopsida,O,F,Neuropteridium,Neuropteridium voltzii,110.294,29.511,-247,-237,96.22,21.68
133,Gymnospermae,Cycadopsida,Nilssoniales,F,Nilssonia,Nilssonia grandifolia,111.005,40.041,-247,-237,89.68,43.69
134,Gymnospermae,Cycadopsida,Nilssoniales,F,Nilssonia,Nilssonia costanervis,110.294,29.511,-247,-237,96.22,21.68
135,Gymnospermae,Pteridospermopsida,Corystospermaceae,F,Pachypteris,Pachypteris tarimensis,82.925,41.708,-247,-237,72.78,41.71
136,Gymnospermae,Pteridospermopsida,Peltaspermaceae,F,Peltaspermum,Peltaspermum cf.rotula,110.829,36.998000000000005,-247,-237,88.96,40.69
137,Gymnospermae,Pteridospermopsida,Peltaspermaceae,F,Peltaspermum,Peltaspermum miracarinatum,110.165,29.475,-247,-237,96.14,21.59
138,Gymnospermae,Coniferopsida,O,Pinaceae,Pityolepis,Pityolepis shanxiensis,110.626,36.759,-247,-201,89.93,33.1
139,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia labiata,109.01700000000001,35.229,-247,-237,86.78,39.11
140,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia tongchuanensis,109.01700000000001,35.229,-247,-237,86.78,39.11
141,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia wuziwanensis,109.01700000000001,35.229,-247,-237,86.78,39.11
142,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia wuziwanensis,111.005,40.041,-247,-237,89.68,43.69
143,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia marginulata,108.759,31.469,-247,-237,93.87,22.59
144,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia sanxiaensis,108.759,31.469,-247,-237,93.87,22.59
145,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia sanxiaensis,108.759,31.469,-247,-237,93.87,22.59
146,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia pateriformis,109.321,30.801,-247,-237,94.7,22.3
147,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia rossica,109.321,30.801,-247,-237,94.7,22.3
148,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia marginulata,109.51700000000001,30.284000000000002,-247,-237,95.16,21.96
149,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia marginulata,110.756,30.967,-247,-237,95.71,23.12
150,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia sanxiaensis,110.756,30.967,-247,-237,95.71,23.12
151,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia hunanensis,110.164,29.475,-247,-237,96.14,21.59
152,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia sanxiaensis,110.164,29.475,-247,-237,96.14,21.59
153,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia marginulata,113.87799999999999,29.711,-247,-237,98.91,23.57
154,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia sanxiaensis,113.87799999999999,29.711,-247,-237,98.91,23.57
155,Gymnospermae,Coniferopsida,Podozamitales,F,Podozamites,Podozamites lanceolatus,123.68700000000001,41.282,-247,-237,103.08,43.53
156,Gymnospermae,Coniferopsida,Podozamitales,F,Podozamites,Podozamites lanceolatus,111.00399999999999,40.04,-247,-237,89.68,43.68
157,Gymnospermae,C,Ginkgoales,F,Psygmophyllum,Psygmophyllum cf.multipartitum,123.68700000000001,41.282,-247,-237,103.08,43.53
158,Gymnospermae,Pteridospermopsida,O,F,Sagenopteris,Sagenopteris lanceolatus,110.829,36.998000000000005,-247,-201,94.93,44.19
159,Gymnospermae,C,O,F,Samaropsis,Samaropsis rhombicus,123.69200000000001,41.284,-247,-237,103.09,43.54
160,Pteridophyta,Sphenopsida,Equisetales,F,Schizoneura,Schizoneura ornata,123.68700000000001,41.282,-247,-237,103.08,43.53
161,Gymnospermae,Pteridospermopsida,O,F,Scytophyllum,Scytophyllum hunanense,110.294,29.511,-247,-237,96.22,21.68
162,Gymnospermae,Pteridospermopsida,O,F,Scytophyllum,Scytophyllum cryptonerve,111.955,38.632,-247,-237,90.42,42.19
