,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
63,Gymnospermae,Pteridospermopsida,Peltaspermaceae,F,Peltaspermum,Peltaspermum calycinum,112.096,37.676,-251,-247,91.58,33.67
64,Gymnospermae,Pteridospermopsida,Peltaspermaceae,F,Peltaspermum,Peltaspermum calycinum,113.307,37.455,-251,-247,92.62,33.2
65,Gymnospermae,Pteridospermopsida,Peltaspermaceae,F,Peltaspermum,Peltaspermum lobulatum,112.096,37.676,-251,-247,91.58,33.67
66,Pteridophyta,Sphenopsida,O,Phyllothecaceae,Phyllotheca,Phyllotheca bella,110.493,19.122,-251,-247,104.85,3.58
67,Pteridophyta,Sphenopsida,O,Phyllothecaceae,Phyllotheca,Phyllotheca bicruris,113.307,37.455,-251,-247,92.62,33.2
68,Pteridophyta,Sphenopsida,O,Phyllothecaceae,Phyllotheca,Phyllotheca marginans,110.471,19.111,-251,-247,104.84,3.56
69,Pteridophyta,Sphenopsida,O,Phyllothecaceae,Phyllotheca,Phyllotheca yusheensis,112.095,37.676,-251,-247,91.58,33.67
70,Pteridophyta,Sphenopsida,O,Phyllothecaceae,Phyllotheca,Phyllotheca yusheensis,113.054,36.961999999999996,-251,-247,92.23,32.78
71,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia altinis,112.069,37.595,-251,-247,91.53,33.6
72,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia epicharis,112.181,35.691,-251,-247,91.03,31.74
73,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia epicharis,111.868,34.748000000000005,-251,-247,90.45,30.9
74,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia epicharis,113.235,37.532,-251,-247,92.58,33.29
75,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia jiaochengensis,112.148,37.551,-251,-247,91.59,33.54
76,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia pateriformis,110.86399999999999,36.501,-251,-247,90.07,32.8
77,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia rossica,113.09700000000001,37.109,-251,-247,92.32,32.91
